#Nozzle,NozzleID,Nozzle Type,Disabled
Nozzle,1,CN040,NO
Nozzle,2,CN040,NO
Nozzle,3,CN040,NO
Nozzle,4,CN040,NO
Nozzle,5,CN040,NO
Nozzle,6,CN065,NO
Nozzle,7,CN400,NO
Nozzle,8,CN750,NO
