Footprint,Length(mm),Width(mm),Thick(mm),Nozzle Type,Speed(%),Pick delay (ms),Place delay (ms),Accuracy,Capture type,Brightness,Feeder Type
PLCC-68,25.15,25.15,4.37,CN400,40,30,30,High Speed,Fly Calib,80,IC
PLCC-84,30.23,30.23,4.37,CN400,40,30,30,High Speed,Fly Calib,80,IC
SOIC-8,4.9,6,1.75,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
SOIC-14,8.03,6,1.75,CN140,80,20,20,High Speed,Fly Calib,80,Feeder 16mm
SOIC-16,9.3,6,1.75,CN140,80,20,20,High Speed,Fly Calib,80,Feeder 16mm
SOIJ-8,4.245,7.4,1.9,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
SOIC-16(E=10.3),9.3,10.3,2.65,CN140,80,20,20,High Speed,Fly Calib,80,Feeder 16mm
SOIC-18(E=10.3),10.57,10.3,2.65,CN140,80,20,20,High Speed,Fly Calib,80,Feeder 16mm
SOIC-20(E=10.3),11.84,10.3,2.65,CN140,80,20,20,High Speed,Fly Calib,80,Feeder 16mm
SOIC-24(E=10.3),14.38,10.3,2.65,CN220,80,20,20,High Speed,Fly Calib,80,Feeder 24mm
SOIC-28(E=10.3),16.92,10.3,2.65,CN220,80,20,20,High Speed,Fly Calib,80,Feeder 24mm
DFN-6(E=2),1.6,2,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-6(E=3)1.6,1.6,3,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-6(E=3 e=0.95),2.3,3,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-8(E=3 e=0.5),1.75,3,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-S-8,4.21,6,0.85,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
DFN-8(E=3 e=0.65),2.25,3,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-8(E=4 e=0.8),2.7,4,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
TDFN-8,1.75,3,0.5,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
UDFN-8,1.75,3,0.5,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
DFN-10,2.25,3,0.9,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
QFN-16(e=0.5),3,3,0.85,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 12mm
QFN-16(e=0.65),4,4,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-20(e=0.5),4,4,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-20(e=0.65),5,5,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-24(e=0.5),4,4,0.85,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-28(e=0.4),4,4,0.85,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-28(e=0.5),5,5,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-28(e=0.65),6,6,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-S-28,6,6,0.9,CN140,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-40,6,6,0.9,CN400,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-44,8,8,0.9,CN400,100,30,30,High Accuracy,Fly Calib,80,IC
QFN-64,9,9,0.9,CN400,100,30,30,High Accuracy,Fly Calib,80,IC
UQFN-28,4,4,0.5,CN400,100,30,30,High Accuracy,Fly Calib,80,IC
MSOP-8,2.26,4.9,1.1,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
MSOP-10,2.24,4.9,1.1,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
QSOP-16,4.7,5.99,1.75,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
SSOP-20,6.15,7.8,2,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 16mm
SSOP-24,7.45,7.8,2,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 16mm
SSOP-28,8.75,7.8,2,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 16mm
TSSOP-8,2.195,6.4,1.2,CN140,100,20,20,High Speed,IC Calib,80,Feeder 12mm
TSSOP-14,4.145,6.4,1.2,CN140,100,20,20,High Speed,IC Calib,80,Feeder 12mm
TSSOP-16,4.795,6.4,1.2,CN140,100,20,20,High Speed,IC Calib,80,Feeder 12mm
TSSOP-20,6.095,6.4,1.2,CN140,100,20,20,High Speed,IC Calib,80,Feeder 12mm
TSOP-28,20,7.7,1.14,CN400,60,20,20,High Accuracy,IC Calib,80,Feeder 24mm
VSOP-28,13.4,7.35,1.14,CN400,60,20,20,High Accuracy,IC Calib,80,Feeder 24mm
LQFP-32,9,9,1.6,CN400,40,30,30,High Accuracy,IC Calib,80,IC
MQFP-44,13.2,13.2,2.45,CN400,40,30,30,High Accuracy,IC Calib,80,IC
MQFP-64,17.2,17.2,3.15,CN400,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-32,9,9,1.2,CN400,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-44,12,12,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-64(e=0.5),12,12,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-64(e=0.8),16,16,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-80(e=0.5),14,14,1.25,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-80(e=0.65),16,16,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-100(e=0.4),14,14,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
TQFP-100(e=0.5),16,16,1.2,CN750,40,30,30,High Accuracy,IC Calib,80,IC
0603_LED_GREEN,1.6,0.8,0.8,CN065,100,0,0,High Speed,Fly Calib,80,IC
0603_LED_GREEN,1.6,0.8,0.8,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
0603_LED_RED,1.6,1.25,0.85,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
0405_L,2,1.6,0.45,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
0402_R_-_RESNET8,3.8,1.6,0.45,CN065,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0603_0.8MM,1.8,0.95,0.95,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
