CN030,01005_R,01005_C,,,,,,,,,,,,,,,,,,,,,,,,,,
CN040,0402_R,0402_C,0201_R,0201_C,OPT_RES_0402,,,,,,,,,,,,,,,,,,,,,,,
CN065,0603_R,0603_C,0805_R,0805_C,1206_R,1210_R,SOT23-5,SOT23-6,SOD-323,TSOT-5,SOT-23,SOT-143-4,SOT-23-5,SOT-23-6,SC70-3,SC70-5,SC70-6,,,,,,,,,,,
CN140,1812_R,2010_R,2512_R,1206_C,1210_C,1812_C,2010_C,2512_C,A-3216,B-3528,C-6032,D-7343,DO-213AA,DO-213AB,DO-214,DO-214AA(SMD),DO-214AB(SMC),DO-214AC(SMA),DO-215AA(SMBG),DO-215AB(SMCG),SOD-106,SOD-123,SOT-89-6,SOT-233-3,SOT-385,DDPAK-3,DDPAK-5,DDPAK-7
CN220,SOIC-24(E=10.3),SOIC-28(E=10.3),,,,,,,,,,,,,,,,,,,,,,,,,,
CN400,EN5399,EP53A8,PLCC-20,PLCC-28,PLCC-32,PLCC-44,PLCC-68,PLCC-84,,,,,,,,,,,,,,,,,,,,
CN750,MicroSD_-_DM3C-SF,TQFP-44,TQFP-64(e=0.5),TQFP-64(e=0.8),TQFP-80(e=0.5),TQFP-80(e=0.65),TQFP-100(e=0.4),TQFP-100(e=0.5),,,,,,,,,,,,,,,,,,,,
