#Panel,Pos X,Pos Y,Offset X,Offset Y,Angle,Skip,Position
Panel,367.46,157.63,0,0,0,NO,Align
Panel,407.45,157.63,0,0,0,NO,Align
Panel,447.44,157.63,0,0,0,NO,Align
