#Mark,Pos X,Pos Y,Min Size,Max Size,Flash,Brightness,Searching Area,Circular Similarity,Nested Mode,Select Camera,Position
Mark,14.39,9.46,1,2.3,Middle,30,4,80,White Point,Left Camera,
Mark,3.98,40.98,1,2.3,Middle,30,4,80,White Point,Left Camera,
